서비스,순위,타이틀,가수
Bugs,69,오래된 노래,스탠딩 에그(Standing Egg)
Bugs,70,고백 (바른연애 길잡이 X 허각),허각
Bugs,71,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685
Bugs,72,Off My Face,Justin Bieber(저스틴 비버)
Bugs,73,As I Am (feat. Khalid),Justin Bieber(저스틴 비버)
Bugs,74,우린 어쩌다 헤어진 걸까,허각
Bugs,75,Coke & Mentos,salem ilese
Bugs,76,주저하는 연인들을 위해,잔나비
Bugs,77,좋은 이별이 있을 리가 없잖아 (Feat. 조현아 Of 어반자카파),MC몽
Bugs,78,FRIENDS (Prod. Slom),릴보이(lIlBOI)
Bugs,79,METEOR,창모(CHANGMO)
Bugs,80,술 한잔 해요,경서 (경서예지)
Bugs,81,밤편지,아이유(IU)
Bugs,82,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
Bugs,83,잘 가,권진아
Bugs,84,봄 사랑 벚꽃 말고,하이포(HIGH4)
Bugs,85,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단
Bugs,86,Black Mamba,aespa
Bugs,87,어느 60대 노부부이야기,임영웅
Bugs,88,12:45 (Stripped),Etham
Bugs,89,Square (2017),백예린 (Yerin Baek)
Bugs,90,봄날,방탄소년단
Bugs,91,Overdrive,Conan Gray
Bugs,92,살짝 설렜어 (Nonstop),오마이걸(OH MY GIRL)
Bugs,93,How You Like That,BLACKPINK
Bugs,94,Memories,Maroon 5(마룬 파이브)
Bugs,95,가을밤에 든 생각,잔나비
Bugs,96,I CAN’T STOP ME,TWICE (트와이스)
Bugs,97,마음을 드려요,아이유(IU)
Bugs,98,겨울이 지나고 봄이 오듯이,김나영
Bugs,99,WHY DON'T WE (Feat. 청하),비
Bugs,100,Beautiful Beautiful,온앤오프(ONF)
