title,category,subscriber,view,video
Milana FamilyShow [EN],[키즈/어린이],360만,11억6925만,208개
WINNER,[음악/댄스/가수],360만,11억0969만,409개
JaeYeol ASMR 재열,[취미/라이프],353만,8억7943만,899개
야미보이 Yummyboy,[음식/요리/레시피],352만,12억3551만,779개
NCT,[음악/댄스/가수],340만,1억9727만,179개
KBS Drama,[TV/방송],338만,40억2250만,"110,807개"
백현 Baekhyun,[음악/댄스/가수],335만,4226만,15개
CoCosToy 꼬꼬스토이,[키즈/어린이],334만,18억2782만,729개
ARTBEAT,[BJ/인물/연예인],333만,7억5258만,915개
TV-People,[TV/방송],330만,36억0346만,"16,821개"
리월드RIWORLD,[키즈/어린이],327만,13억4795만,367개
EBS 키즈,[키즈/어린이],327만,39억3926만,"18,106개"
tzuyang쯔양,[음식/요리/레시피],321만,2억2920만,171개
KARD,[음악/댄스/가수],320만,5억6276만,300개
tvN,[TV/방송],314만,42억6763만,"56,508개"
Billboard,[회사/오피셜],313만,10억7805만,"6,341개"
MariAndToys,[키즈/어린이],313만,5억4108만,158개
drawholic,[취미/라이프],309만,3억1607만,338개
제이제이 튜브 [JJ Tube],[키즈/어린이],308만,19억0519만,492개
피지컬갤러리,[스포츠/운동],307만,4억2765만,546개
NCT 127,[음악/댄스/가수],300만,2억2200만,166개
럭키강이 LuckyKang i,[키즈/어린이],300만,12억4733만,"1,149개"
(G)I-DLE (여자)아이들 (Official YouTube Channel),[음악/댄스/가수],299만,8억0561만,167개
솔라시도 solarsido,[TV/방송],293만,1억7112만,210개
FRAN,[음식/요리/레시피],292만,9억0949만,"1,259개"
키즈팡TV,[키즈/어린이],290만,17억8112만,"1,702개"
사나고 Sanago,[취미/라이프],290만,3억4883만,130개
카 로봇 Car & Robot,[키즈/어린이],289만,16억9699만,"3,484개"
imlisarhee,[음악/댄스/가수],289만,3억8374만,513개
새송 Saesong,[음악/댄스/가수],284만,2억6796만,240개
유디티TV,[음식/요리/레시피],282만,5억5676만,933개
장삐쭈,[영화/만화/애니],282만,11억5543만,336개
양수빈,[음식/요리/레시피],281만,4억8787만,211개
딩고 뮤직 / dingo music,[TV/방송],281만,10억1290만,"1,488개"
Thankyou BUBU,[취미/라이프],275만,4억0333만,130개
5 분 Tricks,[음식/요리/레시피],272만,9억2286만,"2,991개"
한세HANSE,[음식/요리/레시피],270만,3억5437만,562개
옛드 : 옛날 드라마 [드라맛집],[TV/방송],266만,46억0954만,"45,730개"
PLAYLIST ORIGINALS 플레이리스트 오리지널,[TV/방송],259만,9억1482만,638개
tvN D ENT,[TV/방송],258만,42억5767만,"12,643개"
채널 십오야,[TV/방송],258만,4억0538만,295개
헤이지니 Hey Jini,[키즈/어린이],258만,15억3656만,"1,059개"
NCT DREAM,[미분류],257만,1억2003만,112개
팬케이Pan K The Pancake Artist,[취미/라이프],255만,7억1286만,506개
나도Nado,[음식/요리/레시피],251만,6억1200만,634개
ToyFamily,[키즈/어린이],249만,29만,35개
JAY PARK,[음악/댄스/가수],242만,5억8408만,135개
도티 TV,[게임],242만,26억4574만,"3,229개"
ASMR PPOMO,[취미/라이프],242만,6억1813만,415개
HyunA,[미분류],239만,2억6020만,58개
TVCHOSUN - TV조선,[뉴스/정치/사회],237만,38억7599만,"59,829개"
GIRLS' GENERATION,[음악/댄스/가수],235만,1억0823만,65개
보라미TV BoramiTV,[키즈/어린이],235만,7억9735만,590개
JTBC Voyage,[TV/방송],234만,24억8393만,"5,508개"
창현거리노래방,[음악/댄스/가수],234만,2억5625만,714개
와썹맨-Wassup Man,[BJ/인물/연예인],234만,2억9016만,163개
미니팡TV,[키즈/어린이],232만,16억2488만,455개
United CUBE (CUBE Entertainment Official YouTube Channel),[음악/댄스/가수],232만,6억9850만,"1,547개"
런닝맨 - 스브스 공식 채널,[TV/방송],229만,27억9982만,"53,176개"
AKMU,[음악/댄스/가수],229만,5억2099만,119개
YTN news,[뉴스/정치/사회],226만,45억3639만,"527,940개"
VIVA DANCE STUDIO,[BJ/인물/연예인],226만,3억8123만,"1,666개"
RISABAE,[패션/미용],226만,2억5274만,347개
총몇명,[영화/만화/애니],226만,6억9082만,271개
odg,[취미/라이프],222만,3억4161만,91개
또봇 V · 메탈리온 [Tobot V · Metalions],[키즈/어린이],217만,26억4687만,"1,777개"
꿀키honeykki,[음식/요리/레시피],217만,2억6294만,418개
MariAndFriends,[키즈/어린이],217만,13억4481만,"1,650개"
JOLLY,[BJ/인물/연예인],216만,4억3860만,300개
EBSDocumentary (EBS 다큐),[TV/방송],215만,19억1886만,"27,036개"
흔한남매,[BJ/인물/연예인],214만,18억2594만,693개
여자친구 GFRIEND OFFICIAL,[음악/댄스/가수],212만,3억6998만,485개
진용진,[BJ/인물/연예인],208만,5억0829만,380개
official IZ*ONE,[음악/댄스/가수],208만,4억5155만,258개
4Minute 포미닛(Official YouTube Channel),[음악/댄스/가수],207만,11억9349만,82개
공대생 변승주 DS,[BJ/인물/연예인],207만,12억8482만,"1,453개"
채널 NCT DANCE,[음악/댄스/가수],205만,1억6489만,42개
해그린달 haegreendal,[BJ/인물/연예인],205만,7990만,56개
퇴경아 약먹자,[TV/방송],205만,3억2495만,644개
레이디버그TV,[영화/만화/애니],205만,10억4676만,304개
채널 NCT MUSIC,[음악/댄스/가수],204만,1억3467만,29개
엔조이커플enjoycouple,[BJ/인물/연예인],204만,6억5477만,475개
감스트GAMST,[게임],202만,12억7057만,"4,406개"
디바제시카DeevaJessica,[교육/강의],202만,7억9562만,"2,854개"
Play Carrie,[키즈/어린이],201만,24억8352만,"2,539개"
STUDIO CHOOM [스튜디오 춤],[미분류],200만,6억2147만,475개
꼬마버스 타요,[키즈/어린이],199만,15억2453만,"2,112개"
MTV UK,[미분류],198만,6억6994만,"3,749개"
SBS ENTER PLAY,[TV/방송],198만,14억2826만,"3,199개"
Toy Wizard [토이위자드],[키즈/어린이],198만,7억5086만,697개
SHINee,[음악/댄스/가수],197만,1억2864만,111개
SUPER JUNIOR,[음악/댄스/가수],197만,6487만,153개
수리노을SuriNoel,[애완/반려동물],197만,6억6405만,995개
잠뜰 TV,[게임],196만,22억6921만,"2,639개"
ATEEZ,[TV/방송],195만,1억6486만,271개
ROSÉ,[미분류],194만,577만,2개
지현꿍,[음식/요리/레시피],194만,1억3973만,63개
OfficialGDRAGON,[음악/댄스/가수],192만,3907만,0개
보길 bogil,[TV/방송],192만,7억4384만,"1,056개"
EXID_OFFICIAL,[음악/댄스/가수],191만,6억1777만,332개
뉴욕이랑 놀자,[키즈/어린이],191만,9억0744만,659개
International Couple[사샤와 제이],[BJ/인물/연예인],191만,1억7849만,112개
The World of Dave데이브,[교육/강의],191만,4억3923만,599개
woolliment,[음악/댄스/가수],188만,6억7442만,699개
The Wiggles,[해외],187만,22억8351만,561개
CHEN,[음악/댄스/가수],186만,2842만,10개
tvN D STORY,[TV/방송],186만,4억8907만,926개
"토닥토닥 꼬모 - 애니메이션, 동요, 놀이",[키즈/어린이],186만,19억5518만,760개
Jessi,[음악/댄스/가수],185만,2억2733만,44개
The K-POP,[음악/댄스/가수],184만,4억6924만,"6,525개"
올리버쌤,[교육/강의],183만,3억8086만,573개
[wonderkids TV] 원더키즈 TV,[키즈/어린이],182만,7억7858만,888개
최고다윽박EUGBAK,[음식/요리/레시피],182만,8억3962만,"1,521개"
애정 Aejeong,[음식/요리/레시피],179만,2억4542만,332개
밀키복이탄이MilkyBokiTan,[애완/반려동물],178만,4억6376만,291개
셀프어쿠스틱selfacoustic,[음악/댄스/가수],178만,3억9082만,141개
Donam도남이먹방,[음식/요리/레시피],177만,5억4791만,741개
JerryPop,[음식/요리/레시피],177만,6억1700만,410개
악동 김블루,[게임],177만,8억7412만,686개
꾹TV(Kkuk TV),[키즈/어린이],177만,9억8913만,"1,298개"
ASMR Suna 꿀꿀선아,[음식/요리/레시피],176만,3억9834만,307개
흥삼이네 Heungsam's Family,[음식/요리/레시피],176만,8억5366만,"1,305개"
SBS Catch,[뉴스/정치/사회],174만,16억0430만,"2,828개"
ARIRANG K-POP,[미분류],171만,6억6151만,"26,865개"
Boys Playtime,[키즈/어린이],171만,7억6713만,355개
대도서관TV (buzzbean11),[게임],171만,13억9119만,"9,046개"
양띵 유튜브,[게임],171만,18억4407만,"7,042개"
보물섬,[BJ/인물/연예인],170만,9억7255만,399개
미지우 MEJIWOO,[미분류],169만,1717만,16개
Dollightful,[키즈/어린이],169만,2억4900만,138개
사나이 김기훈,[BJ/인물/연예인],168만,6억6879만,689개
ITSub잇섭,[IT/기술/컴퓨터],167만,4억8214만,721개
밝은 면 Bright Side Korea,[IT/기술/컴퓨터],167만,4억1000만,"2,807개"
슈기님,[음식/요리/레시피],166만,6억1341만,"1,398개"
입짧은햇님,[음식/요리/레시피],166만,5억9986만,"2,286개"
Imaginative Guy,[취미/라이프],164만,5억1065만,107개
BTOB 비투비 (Official YouTube Channel),[음악/댄스/가수],163만,3억6016만,451개
Wishtrend TV,[패션/미용],163만,1억3127만,770개
HONG SOUND,[음식/요리/레시피],163만,3억5853만,976개
Allblanc TV,[스포츠/운동],162만,1억6798만,283개
채널A Home,[뉴스/정치/사회],161만,18억1338만,"17,609개"
MLD ENTERTAINMENT,[음악/댄스/가수],161만,6억0417만,526개
더블비,[BJ/인물/연예인],160만,8억7766만,434개
슈앤트리 SHU AND TREE,[애완/반려동물],160만,3억2550만,306개
비몽,[음악/댄스/가수],159만,8억2881만,"4,578개"
DAY6,[음악/댄스/가수],158만,1억8103만,295개
Leesuhyun,[패션/미용],158만,6948만,98개
뜨뜨뜨뜨,[게임],157만,6억5522만,"1,319개"
DJ SODA OFFICIAL,[음악/댄스/가수],156만,2억1053만,149개
조효진 HYOJIN,[패션/미용],156만,1억6230만,326개
Recording Academy / GRAMMYs,[미분류],155만,5억2041만,"3,741개"
GOT7,[미분류],155만,1529만,3개
내셔널지오그래픽 - National Geographic Korea,[애완/반려동물],155만,6억4117만,"2,846개"
JTBC News,[뉴스/정치/사회],154만,19억3184만,"105,856개"
고몽,[영화/만화/애니],154만,6억0183만,433개
ssin 씬님,[패션/미용],154만,4억3052만,671개
콬TV,[TV/방송],154만,4억9449만,710개
조재원,[TV/방송],154만,3억6834만,246개
김재원의 즐거운 세상,[게임],154만,15억1025만,"1,642개"
아는형님 Knowingbros,[TV/방송],153만,4억8843만,702개
