공원,8.445800860000011E7
공장용지,2.354543526999995E8
과수원,2.1526599400000006E7
광천지,180.0
구거,1.799377074999995E8
답,1.223136091300009E9
대,6.031914724999973E8
도로,4.580863327000019E8
목장용지,6.0401463199999996E7
묘지,3.51930098E7
사적지,4619403.800000001
수도용지,8850121.899999997
양어장,1168344.5000000002
염전,1.3459947E7
유원지,1.0078453299999997E7
유지,8.72681032E7
임야,5.312304526399999E9
잡종지,2.8249198640000004E8
전,8.902020700999991E8
제방,2.0405238100000013E7
종교용지,1.1457413599999998E7
주유소용지,4151701.5000000023
주차장,8199140.899999991
창고용지,3.7035468300000004E7
철도용지,2.3724993699999996E7
체육용지,1.199781461E8
하천,4.0560911770000035E8
학교용지,5.118480379999995E7
